_id,pin,number,total_amount
3510896,0003L00033000000,2,1222.22
3510897,0003L00034000000,4,949.39
3510898,0003L00034000A00,5,876.8
3510899,0003L00122000000,1,1039.65
3510900,0003L00146000000,1,522.66
3510901,0003L00147000000,1,473
3510902,0003L00150000000,1,789.32
3510903,0003L00189000000,8,11826.35
3510904,0003L00203000000,1,617.76
3510905,0003L00217000000,14,607.32
3510906,0003L00228000000,1,3.31
3510907,0003L00229000000,1,734.57
3510908,0003L00237000000,1,1285.61
3510909,0003L00239000000,20,64.53
3510910,0003L00242000000,7,9934.71
3510911,0003L00300000000,5,197.7
3510912,0003L00430000000,1,37.84
3510913,0003L00432000000,1,37.84
3510914,0003L00434000000,1,37.84
3510915,0003L00436000000,1,37.84
3510916,0003L00438000000,1,37.84
3510917,0003M00051000000,4,1089.15
3510918,0003M00118000000,2,630.15
3510919,0003M00119030300,1,1217.5
3510920,0003M00133000000,1,14.29
3510921,0003M00136000400,1,57.71
3510922,0003M00136000500,1,57.71
3510923,0003M00136000600,1,57.71
3510924,0003M00136000700,1,57.71
3510925,0003M00136001300,1,57.23
3510926,0003M00180000000,1,416.54
3510927,0003M00189000000,1,115.89
3510928,0003M00203000000,1,1942.67
3510929,0003M00247000A00,2,142.52
3510930,0003M00265000000,18,17967.4
3510931,0003M00300000000,2,144.9
3510932,0003M00323000000,1,185.48
3510933,0003M00327000000,1,402.05
3510934,0003M00343000000,1,808.09
3510935,0003M00355000000,1,2314.73
3510936,0003M00371000000,1,392.86
3510937,0003M00379000000,1,417.65
3510938,0003M00401000000,2,4641.11
3510939,0003M00425000000,1,37.84
3510940,0003M00426000000,1,37.84
3510941,0003M00427000000,1,37.84
3510942,0003M00428000000,1,37.84
3510943,0003N00002000000,3,1162.56
3510944,0003N00003000000,5,83.1
3510945,0003N00005000000,1,232.72
3510946,0003N00043000000,2,206.22
3510947,0003N00045000000,13,5943.23
3510948,0003N00047000A00,1,170.73
3510949,0003N00072000000,4,402.74
3510950,0003N00073000101,5,560.88
3510951,0003N00073010100,3,1024.45
3510952,0003N00080000000,1,271.98
3510953,0003N00108000000,1,229.4
3510954,0003N00118000000,1,49.19
3510955,0003N00133000000,1,196.77
3510956,0003N00139000000,1,60.03
3510957,0003N00150000000,1,122.03
3510958,0003N00154000000,40,12906.4
3510959,0003N00159000000,1,257.19
3510960,0003N00164000000,30,9445.75
3510961,0003N00168000000,1,4.73
3510962,0003N00171000000,7,186.58
3510963,0003N00178000000,1,281.03
3510964,0003N00186000000,24,13340.09
3510965,0003N00187000000,2,135.57
3510966,0003N00189000000,11,1637.97
3510967,0003N00190000000,6,564.84
3510968,0003N00196000000,1,33.11
3510969,0003N00197000000,17,757.4
3510970,0003N00214000000,2,760.53
3510971,0003N00229000000,1,80.39
3510972,0003P00102000000,1,24.12
3510973,0003P00109000000,1,31.22
3510974,0003P00110000000,1,293.26
3510975,0003P00118000000,1,94.6
3510976,0003P00120000000,1,23.65
3510977,0003P00191000000,1,44.46
3510978,0003P00196000000,13,4020.69
3510979,0003P00200000000,1,134.8
3510980,0003P00202000000,1,44.94
3510981,0003P00213000000,5,5388.95
3510982,0003P00214000000,1,251.8
3510983,0003P00216000000,1,2.36
3510984,0003P00259000000,1,3.31
3510985,0003P00267000000,2,909.76
3510986,0003P00270000000,4,3656.09
3510987,0003P00273000000,19,5412.14
3510988,0003P00276000000,3,761.91
3510989,0003R00009000000,3,3001.27
3510990,0003R00020000000,3,2659.14
3510991,0003R00024000000,1,350.49
3510992,0003R00025000000,1,182.1
3510993,0003R00044000000,24,322.72
3510994,0003R00047000000,10,1405.28
3510995,0003R00053000000,34,15707.59
3510996,0003R00058000000,2,257.96
3510997,0003R00060000000,2,575.36
3510998,0003R00061000000,2,575.36
3510999,0003R00069000000,2,12.3
3511000,0003R00098000000,8,69.2
3511001,0003R00105000000,1,70.95
3511002,0003R00117000000,1,227.51
3511003,0003R00139000000,1,17.97
3511004,0003R00140000000,1,79.46
3511005,0003R00141000100,8,1058.13
3511006,0003R00143000000,1,3.35
3511007,0003R00158000000,1,35
3511008,0003R00169000000,5,142
3511009,0003R00173000000,30,5901.92
3511010,0003R00177000000,3,372.83
3511011,0003R00192000000,2,35.66
3511012,0003R00218000000,8,97.69
3511013,0003R00230000000,1,122.51
3511014,0003R00293000000,36,3675.46
3511015,0003R00299000000,7,1455.05
3511016,0003R00321000000,16,5122.8
3511017,0003R00325000000,27,1241.18
3511018,0003R00327000000,3,83.7
3511019,0003R00328000000,24,3815.44
3511020,0003S00005000000,1,30.74
3511021,0003S00007000000,1,586.05
3511022,0003S00013000000,1,105.84
3511023,0003S00015000000,1,633.35
3511024,0003S00040000000,30,1074.56
3511025,0003S00041000000,4,300.15
3511026,0003S00059000000,1,28.38
3511027,0003S00060000000,1,28.38
3511028,0003S00062000000,1,258.73
3511029,0003S00064000000,1,15.61
3511030,0003S00065000000,1,2.36
3511031,0003S00069000000,4,1298.51
3511032,0003S00078000000,3,335.57
3511033,0003S00079000000,1,259.75
3511034,0003S00081000000,2,195.36
3511035,0003S00082000000,2,97.68
3511036,0003S00084000000,1,28.38
3511037,0003S00085000000,1,28.38
3511038,0003S00086000000,1,425.7
3511039,0003S00094000000,22,739.86
3511040,0003S00112000000,22,6849.87
3511041,0003S00127000000,7,447.16
3511042,0003S00128000000,1,28.38
3511043,0003S00131000000,1,2.36
3511044,0003S00137000000,1,12.77
3511045,0003S00187000000,1,7.56
3511046,0003S00187000A00,1,642.81
3511047,0003S00190000000,4,2160.26
3511048,0003S00286000000,2,1273.09
3511049,0003S00292000000,14,25.28
3511050,0004A00018000000,2,84.42
3511051,0004A00103000000,4,3391.31
3511052,0004A00104000000,6,1959.7
3511053,0004A00112000000,6,1591.34
3511054,0004A00126000000,2,1202.54
3511055,0004A00130000000,1,227.04
3511056,0004A00144000000,1,870.85
3511057,0004A00299000000,1,409.14
3511058,0004B00007000000,1,16.64
3511059,0004B00011000000,2,110.14
3511060,0004B00046000000,9,6268.75
3511061,0004B00092000000,4,338.14
3511062,0004B00101000000,6,1715.27
3511063,0004B00114000000,3,6219.55
3511064,0004B00116000000,7,2111.07
3511065,0004B00132000000,6,3989.74
3511066,0004B00145000000,7,8718.42
3511067,0004B00175000000,5,3181.6
3511068,0004B00182000000,1,648.96
3511069,0004B00191000000,2,105.59
3511070,0004B00194000000,34,2349.14
3511071,0004B00203000000,1,368.47
3511072,0004B00237000000,1,2147.42
3511073,0004B00266000000,1,585.1
3511074,0004B00267000000,11,4370.65
3511075,0004B00268000000,4,7217.3
3511076,0004B00283000000,5,302.3
3511077,0004C00007000000,1,59.33
3511078,0004C00007000300,1,530.23
3511079,0004C00007001000,1,1225.39
3511080,0004C00007001700,1,535.91
3511081,0004C00115000000,2,19.76
3511082,0004D00030000000,11,4.84
3511083,0004E00007000000,1,158.59
3511084,0004E00062000000,1,66.22
3511085,0004E00063000000,1,66.22
3511086,0004E00064000000,1,66.22
3511087,0004E00065000000,1,66.69
3511088,0004E00066000000,10,196.35
3511089,0004E00067000000,1,67.64
3511090,0004E00068000000,1,68.58
3511091,0004E00086000000,5,1180.29
3511092,0004E00118000000,3,1998.68
3511093,0004E00125000000,3,435.09
3511094,0004E00133000000,1,254.67
3511095,0004E00142000000,2,300.08
3511096,0004E00146000000,2,182.99
3511097,0004E00190000000,9,857.95
3511098,0004E00191000000,6,2406.71
3511099,0004E00198000000,1,213.8
3511100,0004E00199000000,8,1712.05
3511101,0004E00200000000,1,4.73
3511102,0004E00214000000,1,166.02
3511103,0004F00017000000,1,642.83
3511104,0004F00040000000,3,3133.26
3511105,0004F00042000000,24,10355.16
3511106,0004F00043000000,4,2275.23
3511107,0004F00049000000,1,289
3511108,0004F00053000000,2,91.05
3511109,0004F00056000000,10,6164.81
3511110,0004F00074000000,1,20.34
3511111,0004F00079000000,1,62.91
3511112,0004F00086000000,1,132.3
3511113,0004F00094000000,13,6467.93
3511114,0004F00123000000,1,341.98
3511115,0004F00142000000,1,846.48
3511116,0004F00145000000,19,2035.74
3511117,0004F00151000000,1,11.68
3511118,0004F00194000000,1,168.37
3511119,0004F00209000000,1,180.69
3511120,0004F00210000000,1,271.5
3511121,0004F00216000000,2,440.31
3511122,0004F00222000000,2,7.56
3511123,0004F00225000000,3,6935.23
3511124,0004F00255000000,1,115.79
3511125,0004F00275000000,1,175.48
3511126,0004F00277000000,1,8.04
3511127,0004F00279000000,1,8.04
3511128,0004F00280000S00,10,1235.3
3511129,0004F00283000000,3,318.04
3511130,0004F00286000000,1,35.95
3511131,0004F00287000000,1,300.36
3511132,0004F00288000000,1,333.94
3511133,0004F00288000A00,3,179.17
3511134,0004F00289000000,2,3323.21
3511135,0004F00290000000,2,1090.13
3511136,0004F00294000000,1,279.07
3511137,0004F00300000000,1,157.04
3511138,0004G00032000000,1,470.16
3511139,0004G00034000000,1,256.07
3511140,0004G00069000000,1,993.3
3511141,0004G00101000000,41,317.49
3511142,0004G00114000000,1,998.98
3511143,0004G00121000000,5,4184.4
3511144,0004G00123000000,6,14824.95
3511145,0004G00162000000,1,3.31
3511146,0004G00192000000,10,41.79
3511147,0004G00196000000,6,26.4
3511148,0004G00212000000,7,5450.72
3511149,0004G00213000000,1,2.93
3511150,0004G00218000000,2,472.55
3511151,0004G00245000000,30,2254.06
3511152,0004G00254000000,20,67.8
3511153,0004G00295000002,17,173.7
3511154,0004G00300000000,1,32.63
3511155,0004H00008000000,1,983.84
3511156,0004H00010000000,1,22.7
3511157,0004H00014000000,1,364.21
3511158,0004H00022000000,27,13027.69
3511159,0004H00033000000,2,946.3
3511160,0004H00039000000,8,130.59
3511161,0004H00039000A00,4,91.17
3511162,0004H00040000000,5,51.58
3511163,0004H00041000000,16,105.1
3511164,0004H00043000000,1,4.38
3511165,0004H00043000A00,16,525.69
3511166,0004H00043000D00,1,20.15
3511167,0004H00050000000,8,37.84
3511168,0004H00051000000,25,169.01
3511169,0004H00055000000,23,197.5
3511170,0004H00099000000,11,16.01
3511171,0004H00103000000,1,31.9
3511172,0004H00150000000,14,18.22
3511173,0004H00217000000,31,4053.35
3511174,0004H00225000000,30,2246.05
3511175,0004H00226000000,15,136.64
3511176,0004H00227000000,7,23.7
3511177,0004H00228000000,8,90
3511178,0004H00231000000,24,88.42
3511179,0004J00004000000,22,150.38
3511180,0004J00035000000,7,85.31
3511181,0004J00040000000,2,225.99
3511182,0004J00041000000,1,94.5
3511183,0004J00054000000,6,17.38
3511184,0004J00056000000,5,244.2
3511185,0004J00059000000,8,231.08
3511186,0004J00060000000,6,12.16
3511187,0004J00063000000,5,170.95
3511188,0004J00066000000,16,346.92
3511189,0004J00072000000,2,265.18
3511190,0004J00093000000,7,2619.21
3511191,0004J00094000000,5,364.87
3511192,0004J00101000000,5,2605.76
3511193,0004J00109000000,1,526.45
3511194,0004J00112000000,14,51.2
3511195,0004J00119000000,1,207.17
3511196,0004J00124000000,9,3449.41
3511197,0004J00129000000,1,166.54
3511198,0004J00141000000,2,188.64
3511199,0004J00142000000,1,172.17
3511200,0004J00155000000,2,1146.77
3511201,0004J00167000000,2,71.99
3511202,0004J00169000000,19,780.64
3511203,0004J00184000000,6,6283.13
3511204,0004J00185000000,4,3020.19
3511205,0004J00188000000,1,2346.58
3511206,0004J00200000000,1,465.36
3511207,0004J00202000000,36,3785.15
3511208,0004J00203000000,24,7012.54
3511209,0004J00204000000,1,4.73
3511210,0004J00206000000,1,85.61
3511211,0004J00208000000,1,262.52
3511212,0004J00215000000,1,67.64
3511213,0004J00216000000,1,25.07
3511214,0004J00217000000,1,257.78
3511215,0004J00222000000,21,8482.27
3511216,0004J00249000000,1,293.73
3511217,0004J00291000000,2,2520.93
3511218,0004J00299000000,2,645.97
3511219,0004K00011000000,3,2206.23
3511220,0004K00059000000,2,459.45
3511221,0004K00060000000,1,20.81
3511222,0004K00062000000,4,3190.73
3511223,0004K00064000000,13,734.23
3511224,0004K00079000000,1,624.25
3511225,0004K00097000000,1,157.11
3511226,0004K00110000000,1,236.5
3511227,0004K00240000000,2,1751.07
3511228,0004K00241000000,2,258.86
3511229,0004K00242000000,2,283.28
3511230,0004K00251000000,45,12326.62
3511231,0004K00264000000,2,95.2
3511232,0004K00272000000,1,252.58
3511233,0004K00324000000,1,106.42
3511234,0004K00340000000,6,770.27
3511235,0004K00356000000,2,501.92
3511236,0004L00060000000,1,210.96
3511237,0004L00086000000,3,2371.23
3511238,0004L00096000000,6,818.88
3511239,0004L00098000000,4,80.39
3511240,0004L00108000A00,11,790.96
3511241,0004L00109000000,11,4371.16
3511242,0004L00121000000,1,16.88
3511243,0004L00125000000,2,1944.57
3511244,0004L00126000000,6,3359.47
3511245,0004L00130000000,2,129.37
3511246,0004L00168000000,2,62
3511247,0004L00172000000,7,51.78
3511248,0004L00189000000,1,26.35
3511249,0004L00199000000,2,17.52
3511250,0004L00208000000,1,1135.2
3511251,0004L00220000000,2,952.67
3511252,0004L00230000000,11,30.38
3511253,0004L00272000000,2,58.31
3511254,0004L00300000000,1,30.02
3511255,0004L00328000000,1,438
3511256,0004M00002000000,1,4.69
3511257,0004M00003000000,1,5.16
3511258,0004M00013000000,1,344.81
3511259,0004M00016000000,1,378.4
3511260,0004M00060000000,1,50.43
3511261,0004M00063000000,2,426.43
3511262,0004M00069000000,2,168.86
3511263,0004M00083000000,2,115.93
3511264,0004M00095000000,2,1284.76
3511265,0004M00149000000,11,31.59
3511266,0004M00170000000,8,18274.96
3511267,0004M00192000000,1,3.9
3511268,0004M00234000000,6,24.9
3511269,0004M00238000000,23,96.88
3511270,0004N00001000000,2,89.88
3511271,0004N00004000000,7,2812.68
3511272,0004N00008000000,4,1429.42
3511273,0004N00021000000,1,4.26
3511274,0004N00024000000,14,5127.29
3511275,0004N00025000000,2,32.45
3511276,0004N00045000000,3,318.53
3511277,0004N00072000000,3,312.34
3511278,0004N00101000000,3,1910.53
3511279,0004N00106000000,22,8189.94
3511280,0004N00136000000,3,2286.6
3511281,0004N00137000000,15,1847.6
3511282,0004N00140000000,1,204.81
3511283,0004N00157000000,2,89.88
3511284,0004N00163000000,2,43.52
3511285,0004N00169000000,8,2530.16
3511286,0004N00172000000,4,631.73
3511287,0004N00173000001,2,352.86
3511288,0004N00175000000,1,59.6
3511289,0004N00190000000,2,47.6
3511290,0004P00029000000,15,89.38
3511291,0004P00034000000,21,6002.85
3511292,0004P00040000000,35,518.15
3511293,0004P00045000000,17,4667.49
3511294,0004P00048000000,1,212.85
3511295,0004P00056000000,1,122.03
3511296,0004P00060000000,4,5725.94
3511297,0004P00068000000,1,153.25
3511298,0004P00073000000,1,538.95
3511299,0004P00093000000,1,710.45
3511300,0004P00095000000,1,34.53
3511301,0004P00103000000,31,1679.57
3511302,0004P00153000000,1,239.34
3511303,0004P00160000000,2,1130.48
3511304,0004P00167000000,1,82.83
3511305,0004P00175000000,25,5307.43
3511306,0004P00178000000,10,54.83
3511307,0004P00196000000,6,174.59
3511308,0004P00222000000,4,1033.86
3511309,0004P00246000000,1,126.58
3511310,0004P00300000000,7,866.02
3511311,0004P00308000000,2,444.38
3511312,0004P00340000000,12,77.64
3511313,0004P00349000000,1,116.88
3511314,0004R00009000000,14,4901.11
3511315,0004R00012000000,2,553
3511316,0004R00074000000,1,94.6
3511317,0004R00085000000,16,8177.19
3511318,0004R00093000000,1,1280.97
3511319,0004R00101000000,3,818.51
3511320,0004R00109000000,1,245.01
3511321,0004R00114000000,3,1541.16
3511322,0004R00122000000,6,4201.88
3511323,0004R00126000000,3,625.02
3511324,0004R00130000000,14,379.58
3511325,0004R00135000000,27,459.33
3511326,0004R00145000000,5,5.35
3511327,0004R00163000000,1,215.22
3511328,0004R00171000000,5,1554.84
3511329,0004R00183000000,5,551.67
3511330,0004R00194000000,2,853.27
3511331,0004R00207000000,1,122.98
3511332,0004R00208000000,1,17.97
3511333,0004R00217000000,1,332.05
3511334,0004R00221000000,1,51.73
3511335,0004R00242000000,2,1447.66
3511336,0004R00243000A00,1,162.71
3511337,0004R00245000000,2,86.83
3511338,0004R00252000000,4,295.53
3511339,0004R00270000000,10,2571.74
3511340,0004R00280000000,2,1360.08
3511341,0004R00287000000,2,323.32
3511342,0004R00288000000,2,22.98
3511343,0004R00291000000,3,3138.28
3511344,0004R00299000000,11,869.38
3511345,0004R00304000000,2,1605.04
3511346,0004R00313000000,5,3906.03
3511347,0004S00007000000,75,717.91
3511348,0004S00036000000,3,116.26
3511349,0004S00043000000,1,191.09
3511350,0004S00047000000,2,1398.42
3511351,0004S00058000000,1,27.43
3511352,0004S00061000000,1,27.43
3511353,0004S00062000000,1,220.42
3511354,0004S00083000000,1,193.46
3511355,0004S00093000000,28,11300.46
3511356,0004S00104000000,3,582.28
3511357,0004S00105000000,1,290.96
3511358,0004S00109000000,3,851.02
3511359,0004S00113000000,4,1225.89
3511360,0004S00176000000,1,241.23
3511361,0004S00186000000,1,368.94
3511362,0004S00196000000,2,1297.83
3511363,0004S00197000000,1,1.88
3511364,0004S00204000000,11,3022.98
3511365,0004S00213000000,9,4346.26
3511366,0004S00224000000,3,2444.88
3511367,0004S00225000000,1,111.63
3511368,0004S00227000000,2,562.06
3511369,0004S00231000000,3,874.78
3511370,0004S00232000000,2,213.95
3511371,0004S00244000000,2,1114.05
3511372,0004S00262000000,1,3.75
3511373,0004S00281000000,22,2422.82
3511374,0004S00288000000,9,1785.49
3511375,0004S00298000000,2,301
3511376,0004S00306000000,1,102.64
3511377,0004S00329000000,2,127.57
3511378,0005B00025000000,2,151.02
3511379,0005B00032000000,7,27.55
3511380,0005B00057000000,1,8.99
3511381,0005B00070000000,20,137.4
3511382,0005B00072000000,23,208.88
3511383,0005B00082000000,58,302.46
3511384,0005B00096000000,5,76.82
3511385,0005B00128000000,6,6.91
3511386,0005B00130000001,22,52.58
3511387,0005B00138000000,26,38.87
3511388,0005B00180000000,17,75.85
3511389,0005B00181000000,5,2.67
3511390,0005B00199000000,14,40.14
3511391,0005B00218000000,25,172.98
3511392,0005C00019000000,3,2722.8
3511393,0005C00056000000,1,2.36
3511394,0005C00123000000,11,831.07
3511395,0005C00127000000,1,1029.77
3511396,0005C00128000000,4,53.38
3511397,0005C00137000000,2,133.6
3511398,0005C00138000000,5,1355.87
3511399,0005C00153000000,22,27.62
3511400,0005C00160000000,23,90.03
3511401,0005C00163000000,10,1455.44
3511402,0005C00186000000,3,1481.7
3511403,0005C00199000000,8,97762.12
3511404,0005C00208000000,32,4602.19
3511405,0005C00210000000,32,4129.31
3511406,0005C00212000000,31,4070.7
3511407,0005C00221000000,6,3802.96
3511408,0005C00236000000,13,49.88
3511409,0005C00239000000,22,16.84
3511410,0005C00240000000,14,6.18
3511411,0005C00289000000,22,10.76
3511412,0005C00299000000,18,191.69
3511413,0005D00018000000,1,417.19
3511414,0005D00020000000,1,102.6
3511415,0005D00022000000,3,1732.28
3511416,0005D00151000000,1,1351.68
3511417,0005D00217000000,5,5.35
3511418,0005F00046000000,74,3514.72
3511419,0005F00052000000,9,62.65
3511420,0005F00072000000,8,24.3
3511421,0005F00160000000,2,66.25
3511422,0005G00001000000,10,8.08
3511423,0005G00011000000,10,4.5
3511424,0005G00026000000,22,10.76
3511425,0005G00095000A00,2,135.32
3511426,0005G00097000000,13,168.86
3511427,0005G00112000000,4,17.46
3511428,0005G00114000000,22,9.3
3511429,0005G00124000000,14,13.44
3511430,0005G00126000000,4,1882.45
3511431,0005G00128000000,24,2588.61
3511432,0005G00146000000,27,21.17
3511433,0005G00161000000,22,18.68
3511434,0005G00170000000,6,39.38
